"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Congo, Dem. Rep.","COD","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200000","3100000","700000","700000","24000000","10700000","11400000","6900000","8400000","45400000","100000","4300000","6000000","60500000","","","","",
"Congo, Rep.","COG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14669139.8620605","11017593.3837891","","","13500000","12399999.6185303","22600000.3814697","25600000.3814697","30000000","23100000.3814697","","","31399999.6185303","37000000","85000000","39000000","47000000","68000000","52400001.5258789","56900001.5258789","46900001.5258789","42900001.5258789","","","","","","",
"Colombia","COL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887000000","1362000000","1315000000","1216000000","1231000000","1313000000","1483000000","1237000000","1191000000","1535000000","1891000000","2370000000","2616000000","2966000000","3080000000","3473000000","3841000000","4409000000","4819000000","4941000000","5281000000","5631000000","5899000000","6655000000","6784000000","1959000000","","",
"Comoros","COM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","23000000","26000000","16000000","19000000","15000000","9000000","10899999.6185303","15600000.3814697","21399999.6185303","24399999.6185303","27399999.6185303","30399999.6185303","37400001.5258789","32299999.2370605","35200000.7629395","42200000.7629395","39299999.2370605","","62799999.2370605","51599998.4741211","50500000","60599998.4741211","73699996.9482422","72699996.9482422","18500000","","",
"Cabo Verde","CPV","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29000000","37000000","50000000","45000000","56000000","64000000","77000000","100000000","135000000","153000000","177000000","280000000","375000000","432000000","349000000","387000000","438000000","452000000","483000000","453000000","380000000","397000000","451000000","520000000","567000000","169000000","","",
"Costa Rica","CRI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","763000000","797000000","860000000","1038000000","1256000000","1629000000","1480000000","1429000000","1573000000","1755000000","2008000000","2066000000","2454000000","2811000000","2216000000","2426000000","2646000000","2773000000","3171000000","3137000000","3408000000","3776000000","3758000000","4073000000","4282000000","1479000000","","",
"Caribbean small states","CSS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4328852719.65497","4494059063.77796","4705331861.72075","4831670871.54583","5220376078.73985","5535249011.94172","5171516485.65681","5239919915.97307","5675313178.77979","6188372842.95107","6646851691.78498","7036558713.29381","7490671096.90073","7471022003.37928","6939404861.99329","7203576008.22616","7158819739.64952","7704723512.593","7795442215.38536","9468167770.38128","9836484354.85338","10590877575.243","","","","","","",
"Cuba","CUB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100000000","1333000000","1515000000","1759000000","1901000000","1948000000","1840000000","1769000000","1999000000","2114000000","2591000000","2414000000","2415000000","2535000000","2249000000","2396000000","2503000000","2614000000","2608000000","2546000000","2819000000","3069000000","3302000000","2783000000","2645000000","1152000000","","",
"Curacao","CUW","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175000000","186000000","201000000","261000000","260000000","227000000","271000000","217000000","223000000","224000000","244000000","277000000","329000000","383000000","378000000","438000000","540000000","676000000","778000000","820000000","712000000","644000000","572000000","604000000","706000000","282000000","","",
"Cayman Islands","CYM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394000000","368000000","501000000","534000000","525000000","559000000","585000000","607000000","518000000","523000000","356000000","509000000","481000000","518000000","458000000","465000000","472000000","489000000","500000000","565000000","680000000","708000000","832000000","911000000","964000000","","","",
"Cyprus","CYP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018044189.45313","1904723510.74219","1850360595.70313","1918303588.86719","2115000000","2137000000","2203000000","2178000000","2325000000","2552000000","2644000000","2692007568.35938","3107000000","3232000000","2476000000","2137000000","2603000000","2603000000","2930000000","2924000000","2525664306.64063","2870000000","3274000000","3449000000","3245000000","663000000","","",
"Czechia","CZE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3376000000","4069000000","4931000000","5772000000","6702000000","7803000000","9228000000","8164000000","8068000000","8930000000","8174000000","7792000000","7614000000","6766000000","7041000000","7695000000","8283000000","7967000000","3890000000","","",
"Germany","DEU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24053000000","23982000000","24500000000","25806000000","25327000000","24943000000","24182000000","26717000000","30129000000","36417000000","40518000000","45560000000","49320000000","53402000000","47499000000","49116000000","53465000000","51626000000","55486000000","58721000000","50669000000","52234000000","55750000000","59446000000","58372000000","","","",
"Djibouti","DJI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400000","4600000","4200000","9300000","7600000","8100000","8600000","8900000","6900000","6800000","7100000","9800000","6800000","7800000","16000000","18000000","19200000","20500000","21600000","24700000","30900000","33500000","36200000","57000000","","","","",
