"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"East Asia & Pacific","EAS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93487907.3815713","105058885.908282","111012952.209889","110742415.254419","119896552.492778","134784939.102544","142852066.953573","146849553.812098","144565260.081594","168503338.327594","178980034.497511","191973606.464964","209160640.046601","214079069.418245","212759733.971932","236680060.321045","254609640.199161","275983951.222562","296517180.446701","321003450.370821","345737393.819342","366330196.106592","384699656.285346","402010474.201487","415489956.286309","","","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76738619.4046321","85797832.2211344","91548425.8421658","100443508.852911","104726021.933566","102230776.295839","110297645.238854","123276429.934997","132546898.107873","147039143.726103","136995126.794444","129803442.215048","133101122.487867","153450258.678131","165722068.044527","174307497.882602","","","",
"Europe & Central Asia","ECS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373271895.539842","406716446.708114","431290829.636164","457405981.173266","453096545.815036","457281193.276423","467949386.211475","477522968.093898","504648379.38485","516208188.517464","543821360.066964","562146928.174775","539873168.034357","554242170.536358","573579334.712143","585069762.754391","608350743.356874","587759571.430501","604738772.886786","626599435.232651","682564892.562025","729507921.231368","740715759.48271","","","",
"Ecuador","ECU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271000","275000","321000","330000","386000","520000","562000","627000","613000","603000","664000","733000","801000","815000","814000","899000","1022000","1022000","1138000","1096000","1221000","1366000","1347000","1402000","1515000","","","",
"Egypt, Arab Rep.","EGY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4716000","4618000","4863000","5678000","5782000","6180000","","","","","","","","",
"Euro area","EMU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176496888.358507","200805328.610166","213458179.760061","222897314.837591","223258385.465982","227220660.519639","237311634.397298","232662990.266981","241460247.066788","240206221.439729","251318903.467316","261350173.509939","260250412.028062","261465779.150173","263529591.144957","259790000","262622000","265842000","271600000","285847000","311204000","338485601.5625","337838000","","","",
"Eritrea","ERI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12709000","13042000","13754000","14254000","15944000","14916000","13434000","13952000","17625000","18277000","20274000","22287000","22816000","6236000","","",
"Estonia","EST","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1764000","1547000","1616000","1659000","1780000","1800000","1658000","1849000","2075000","","","438000","677000","692000","752000","955000","1054000","1147000","1166000","1426000","1250000","1339000","1279000","2069000","1702000","558000","","",
"Ethiopia","ETH","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120000","133000","","","","","","","","","","","","","","","","","","","","","","","","","","",
